Date Cts +- State
55057.5 1.3184 0.0409 1
55058.5 1.0661 0.0398 1
55059.5 1.2034 0.0418 1
55060.5 1.3363 0.0386 1
55061.5 1.4884 0.0451 1
55062.5 1.5103 0.0466 1
55063.5 1.4732 0.0625 1
55064.5 1.4902 0.0482 1
55065.5 1.4368 0.1034 1
55066.5 1.2181 0.0295 1
55067.5 1.0528 0.0228 1
55068.5 1.1554 0.0242 1
55069.5 1.2216 0.0223 1
55070.5 1.2237 0.0215 1
55073.5 1.0956 0.0283 1
55074.5 1.2045 0.0231 1
55075.5 1.2963 0.0189 1
55076.5 1.3784 0.0185 1
55077.5 1.4438 0.0188 1
55078.5 1.2605 0.0201 1
55079.5 1.3899 0.0226 1
55080.5 1.3288 0.0188 1
55081.5 1.3785 0.0188 1
55082.5 1.2155 0.0188 1
55083.5 1.2634 0.0162 1
55084.5 1.2242 0.0164 1
55085.5 1.2727 0.0159 1
55086.5 1.3123 0.0159 1
55087.5 1.3203 0.0159 1
55088.5 1.2984 0.0161 1
55089.5 1.1603 0.0150 1
55090.5 1.1182 0.0148 1
55091.5 1.1212 0.0152 1
55092.5 1.1001 0.0154 1
55093.5 1.1978 0.0154 1
55094.5 1.0957 0.0151 1
55095.5 1.1117 0.0159 1
55096.5 1.1110 0.0736 1
55097.5 1.1069 0.0293 1
55098.5 1.2159 0.0330 1
55099.5 1.2268 0.0925 1
55100.5 1.3100 0.0254 1
55101.5 1.1066 0.0375 1
55102.5 1.2038 0.0441 1
55103.5 1.1364 0.0389 1
55104.5 1.1210 0.0397 1
55105.5 1.3496 0.0546 1
55106.5 0.9110 0.0524 1
55107.5 1.0157 0.0366 1
55108.5 1.0176 0.0430 1
55115.5 0.8172 0.1286 1
55136.5 1.0857 0.0465 1
55137.5 1.0803 0.0380 1
55138.5 0.9174 0.0342 1
55139.5 0.6941 0.0293 1
55140.5 0.7575 0.0310 1
55141.5 1.0846 0.0359 1
55142.5 0.8428 0.0308 1
55143.5 0.8893 0.0294 1
55144.5 0.7274 0.0276 1
55145.5 0.8112 0.0311 1
55146.5 0.8808 0.0280 1
55147.5 1.1402 0.0363 1
55148.5 1.2259 0.0259 1
55149.5 1.2983 0.0249 1
55150.5 1.1687 0.0325 1
55151.5 1.0000 0.0315 1
55152.5 1.3229 0.0217 1
55153.5 1.4162 0.0248 1
55154.5 1.6159 0.0272 1
55155.5 1.8412 0.0272 1
55156.5 1.1641 0.0225 1
55157.5 1.2050 0.0218 1
55158.5 1.2028 0.0217 1
55159.5 1.3674 0.0216 1
55160.5 1.2820 0.0206 1
55161.5 1.3466 0.0214 1
55162.5 1.2133 0.0178 1
55163.5 1.2280 0.0185 1
55164.5 1.2750 0.0204 1
55165.5 1.2624 0.0204 1
55166.5 1.3201 0.0215 1
55167.5 1.1026 0.0201 1
55168.5 0.8363 0.0181 1
55169.5 1.0965 0.0229 1
55170.5 1.3327 0.0300 1
55171.5 1.1989 0.0281 1
55172.5 1.0898 0.0336 1
55173.5 1.3117 0.0382 1
55174.5 1.3172 0.0370 1
55175.5 1.3318 0.0388 1
55176.5 1.3372 0.0379 1
55177.5 1.3713 0.0383 1
55178.5 1.4115 0.0388 1
55179.5 1.3317 0.0439 1
55187.5 1.5002 0.0995 1
55207.5 1.3118 0.0929 1
55208.5 1.2254 0.0402 1
55209.5 1.2609 0.0386 1
55210.5 1.2342 0.0383 1
55211.5 1.3093 0.0381 1
55212.5 1.5109 0.0382 1
55213.5 1.5669 0.0410 1
55214.5 1.2485 0.0318 1
55215.5 1.3079 0.0319 1
55216.5 1.4454 0.0378 1
55217.5 1.0492 0.0450 1
55218.5 1.1028 0.0238 1
55219.5 1.2428 0.0253 1
55220.5 1.3350 0.0249 1
55221.5 1.4368 0.0234 1
55222.5 1.5589 0.0220 1
55223.5 1.4917 0.0246 1
55224.5 1.7350 0.0295 1
55225.5 1.8282 0.0280 1
55226.5 1.6274 0.0197 1
55227.5 1.8033 0.0212 1
55228.5 1.5826 0.0195 1
55229.5 1.3296 0.0181 1
55230.5 1.3515 0.0183 1
55231.5 1.3974 0.0193 1
55232.5 1.4654 0.0192 1
55233.5 1.4391 0.0201 1
55234.5 1.4259 0.0205 1
55235.5 1.3828 0.0225 1
55236.5 1.5821 0.0236 1
55237.5 1.9487 0.0241 1
55238.5 1.7445 0.0234 1
55239.5 2.0503 0.0250 1
55240.5 1.5975 0.0234 1
55241.5 1.5834 0.0252 1
55242.5 1.9051 0.0296 1
55243.5 1.6495 0.0274 1
55244.5 1.5419 0.0246 1
55245.5 1.3779 0.0243 1
55246.5 1.2858 0.0252 1
55247.5 1.3494 0.0438 1
55248.5 1.4330 0.0441 1
55249.5 1.5917 0.0499 1
55276.5 1.2192 0.1213 1
55277.5 1.7436 0.0458 1
55278.5 1.2757 0.0388 1
55279.5 1.2325 0.0381 1
55280.5 1.0507 0.0362 1
55281.5 1.1529 0.0362 1
55282.5 1.2895 0.0381 1
55283.5 1.3840 0.0377 1
55284.5 1.3554 0.0363 1
55285.5 1.2082 0.0371 1
55286.5 1.4016 0.0383 1
55287.5 1.3038 0.0345 1
55288.5 1.2790 0.0275 1
55289.5 1.0928 0.0251 1
55290.5 1.0445 0.0229 1
55291.5 0.9933 0.0203 1
55292.5 1.0547 0.0204 1
55293.5 1.0378 0.0273 1
55294.5 0.9218 0.0246 1
55295.5 1.0256 0.0244 1
55296.5 1.0984 0.0232 1
55297.5 1.2490 0.0233 1
55298.5 1.4909 0.0245 1
55299.5 1.3707 0.0238 1
55300.5 1.3070 0.0226 1
55301.5 1.1637 0.0214 1
55302.5 1.1890 0.0216 1
55303.5 1.1564 0.0197 1
55304.5 1.1812 0.0205 1
55305.5 1.3524 0.0211 1
55306.5 1.4193 0.0225 1
55307.5 1.1372 0.0219 1
55308.5 1.2193 0.0240 1
55309.5 1.0749 0.0264 1
55310.5 0.9975 0.0359 1
55311.5 1.0839 0.0282 1
55312.5 1.1230 0.0365 1
55313.5 0.9630 0.0349 1
55314.5 1.1747 0.0371 1
55315.5 1.2168 0.0388 1
55316.5 1.5929 0.0429 1
55317.5 1.7633 0.0466 1
55318.5 1.3300 0.0417 1
55319.5 1.2577 0.0460 1
55342.5 0.3772 0.0377 1
55346.5 1.4056 0.0549 1
55347.5 1.2407 0.0373 1
55348.5 1.3664 0.0382 1
55349.5 1.8326 0.0429 1
55350.5 1.5537 0.0402 1
55351.5 1.3089 0.0366 1
55352.5 1.5398 0.0503 1
55353.5 1.3047 0.0468 1
55354.5 1.3594 0.0335 1
55355.5 1.3301 0.0335 1
55356.5 1.2123 0.0371 1
55357.5 1.1601 0.0330 1
55358.5 1.0184 0.0245 1
55359.5 1.0712 0.0230 1
55360.5 1.0968 0.0235 1
55361.5 1.1985 0.0218 1
55362.5 1.2021 0.0197 1
